NO,Boiling Point,Molecule Weight,Melting Point,Flash Point,Vapor pressure,Water solubility,Log Kow,Log Kaw,Half-life from model River,Carbon chain length,Exposure type,Exposure duration,Media type,Chemical concentration ,Environmental temperature,Compartment classs,Modeled logD,Measured logBCF
79,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,34,Fresh water,0.0062,12,2.953,6.39,4.29
80,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,48,Fresh water,0.00043,12,2.953,6.39,4.32
81,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,34,Fresh water,0.00069,12,2.953,6.39,4.34
82,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,48,Fresh water,0.0062,12,2.953,6.39,4.47
83,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,48,Fresh water,0.013,12,2.953,6.39,4.51
84,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,118,Fresh water,0.00043,12,2.953,6.39,4.6
85,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,118,Fresh water,0.0031,12,2.953,6.39,4.61
86,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,118,Fresh water,0.00069,12,2.953,6.39,4.65
87,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,118,Fresh water,0.0062,12,2.953,6.39,4.66
88,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Flow-through,118,Fresh water,0.0015,12,2.953,6.39,4.68
89,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Flow-through,1,Fresh water,0.0019,25,2.953,7.91,2.13
90,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Flow-through,3,Fresh water,0.0019,25,2.953,7.91,2.39
91,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Flow-through,7,Fresh water,0.0019,25,2.953,7.91,2.57
92,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Flow-through,14,Fresh water,0.0019,25,2.953,7.91,2.66
93,342.7,292,122.32,160.3,8.63E-05,5.81E-02,6.29,-1.853,0.292,12,Flow-through,5,Fresh water,0.009,11,2.953,5.94,3.99
